secs_elapsed,interval_qps
5,847320
10,726277
15,34953
20,573294
25,39741
30,564576
35,39716
40,442369
45,321143
50,102523
55,787030
60,39492
65,33597
70,25416
75,752603
80,434434
85,39626
90,32158
95,31770
100,21737
105,586212
110,610853
115,39016
120,37814
125,39467
130,26044
135,25415
140,673948
145,501434
150,39596
155,36773
160,37216
165,31765
170,27625
175,235592
180,966247
185,36756
190,37433
195,39663
200,36270
205,37352
210,25414
215,358846
220,699244
225,152331
230,37271
235,38233
240,35021
245,39626
250,26316
255,25418
260,129962
265,605243
270,371397
275,38051
280,36664
285,39296
290,33707
295,36258
300,31768
305,27592
310,20335
315,91195
320,363135
325,544714
330,141797
335,39687
340,33695
345,36585
350,35331
355,33350
360,37148
365,28176
370,25413
375,21407
380,16266
385,216901
390,484189
395,363146
400,32397
405,37227
410,39429
415,34747
420,39291
425,34022
430,35846
435,31774
440,27620
445,20334
450,20335
455,191689
460,363137
465,484182
470,77258
475,37220
480,31374
485,39273
490,37720
495,34059
500,37258
505,34533
510,38645
515,25724
520,25416
525,18556
530,16268
535,212443
540,484199
545,363147
550,30118
555,37322
560,37036
565,34932
570,39116
575,30087
580,38121
585,33948
590,35974
595,31772
600,26491
605,20335
610,20338
615,16677
620,278425
625,318179
630,484188
635,21074
640,34590
645,34515
650,37654
655,34389
660,36951
665,39226
670,31317
675,37495
680,31095
685,35121
690,25416
695,25286
700,17002
705,16268
710,208349
715,363131
720,484186
725,78185
730,34095
735,34831
740,38642
745,31304
750,36204
755,35827
760,33582
765,38247
770,33532
775,37215
780,25414
785,25419
790,18094
795,16267
800,16267
805,193147
810,484183
815,363131
820,28804
825,37820
830,37310
835,33328
840,37422
845,31748
850,38878
855,29085
860,36748
865,31930
870,33806
875,31622
880,26846
885,20338
890,20334
895,16872
